Date,BBCA,BYAN,TPIA,BBRI,BMRI,DSSA,TLKM,ASII,BBNI,ICBP
2021-08-27,5860.7041015625,1270.4757080078125,2085.8564453125,2743.32470703125,2276.450927734375,1750.0,2896.52392578125,3657.194091796875,2184.928466796875,7615.6962890625
2021-08-28,5860.7041015625,1270.4757080078125,2085.8564453125,2743.32470703125,2276.450927734375,1750.0,2896.52392578125,3657.194091796875,2184.928466796875,7615.6962890625
2021-08-29,5860.7041015625,1270.4757080078125,2085.8564453125,2743.32470703125,2276.450927734375,1750.0,2896.52392578125,3657.194091796875,2184.928466796875,7615.6962890625
2021-08-30,5910.2177734375,1259.763427734375,2154.34716796875,2814.765380859375,2335.32470703125,1750.0,2966.31982421875,3820.138671875,2226.1533203125,7890.9619140625
2021-08-31,5896.71484375,1270.4757080078125,1955.1011962890625,2807.62158203125,2394.198486328125,1750.0,2966.31982421875,3783.928955078125,2226.1533203125,7730.390625
2021-09-01,5910.2177734375,1268.3331298828125,1911.5159912109375,2779.044921875,2354.94921875,1750.0,2913.972900390625,3747.719482421875,2195.234619140625,7707.45263671875
2021-09-02,5887.71142578125,1266.1907958984375,1892.8367919921875,2764.75732421875,2374.57373046875,1750.0,2940.146484375,3802.033203125,2164.3154296875,7753.32958984375
2021-09-03,5941.72705078125,1268.3331298828125,1880.3837890625,2807.62158203125,2404.0107421875,1750.0,2957.59521484375,3874.453125,2246.765625,7776.267578125
2021-09-04,5941.72705078125,1268.3331298828125,1880.3837890625,2807.62158203125,2404.0107421875,1750.0,2957.59521484375,3874.453125,2246.765625,7776.267578125
2021-09-05,5941.72705078125,1268.3331298828125,1880.3837890625,2807.62158203125,2404.0107421875,1750.0,2957.59521484375,3874.453125,2246.765625,7776.267578125
2021-09-06,5919.22021484375,1266.1907958984375,1843.0252685546875,2750.468505859375,2433.44775390625,1750.0,2957.59521484375,3928.768310546875,2246.765625,7822.146484375
2021-09-07,5914.71923828125,1264.04833984375,1774.534423828125,2793.333251953125,2453.072021484375,1750.0,2948.870849609375,3874.453125,2226.1533203125,7930.39453125
2021-09-08,5797.68505859375,1264.04833984375,1737.17578125,2931.264404296875,2453.072021484375,1750.0,2905.24853515625,3802.033203125,2195.234619140625,7930.39453125
2021-09-09,5914.71923828125,1208.3443603515625,1706.0435791015625,2931.264404296875,2492.3212890625,1750.0,2957.59521484375,3946.872802734375,2226.1533203125,8024.5244140625
2021-09-10,5869.7060546875,1242.6236572265625,1793.2137451171875,2970.5576171875,2433.44775390625,1750.0,2905.24853515625,3928.768310546875,2246.765625,8000.99169921875
2021-09-11,5869.7060546875,1242.6236572265625,1793.2137451171875,2970.5576171875,2433.44775390625,1750.0,2905.24853515625,3928.768310546875,2246.765625,8000.99169921875
2021-09-12,5869.7060546875,1242.6236572265625,1793.2137451171875,2970.5576171875,2433.44775390625,1750.0,2905.24853515625,3928.768310546875,2246.765625,8000.99169921875
2021-09-13,5901.21533203125,1251.193603515625,1755.855224609375,2907.688720703125,2413.822998046875,1750.0,2922.697509765625,3946.872802734375,2226.1533203125,7930.39453125
2021-09-14,5892.21240234375,1266.1907958984375,1762.0816650390625,2907.688720703125,2394.198486328125,1750.0,3001.2177734375,4001.1875,2226.1533203125,7953.92724609375
2021-09-15,5847.2001953125,1283.3304443359375,1743.4022216796875,2876.25439453125,2404.0107421875,1750.0,3009.94189453125,3910.66259765625,2205.540771484375,7883.32958984375
2021-09-16,5851.701171875,1291.9002685546875,1861.70458984375,2860.536865234375,2413.822998046875,1750.0,3001.2177734375,3892.55859375,2174.621826171875,7742.1357421875
2021-09-17,5869.7060546875,1296.18505859375,1855.47802734375,2836.961181640625,2374.57373046875,1750.0,3079.738037109375,3928.768310546875,2184.928466796875,7671.5390625
2021-09-18,5869.7060546875,1296.18505859375,1855.47802734375,2836.961181640625,2374.57373046875,1750.0,3079.738037109375,3928.768310546875,2184.928466796875,7671.5390625
2021-09-19,5869.7060546875,1296.18505859375,1855.47802734375,2836.961181640625,2374.57373046875,1750.0,3079.738037109375,3928.768310546875,2184.928466796875,7671.5390625
2021-09-20,5928.22265625,1294.0428466796875,1805.6666259765625,2821.24365234375,2364.76123046875,1750.0,3071.013427734375,3838.243408203125,2123.090576171875,7648.0068359375
2021-09-21,5842.6982421875,1300.4700927734375,1836.798828125,2805.526611328125,2345.136962890625,1750.0,3079.738037109375,3783.928955078125,2112.784423828125,7812.73291015625
2021-09-22,5901.21533203125,1302.612548828125,1805.6666259765625,2836.961181640625,2384.385986328125,1750.0,3132.084716796875,3820.138671875,2123.090576171875,7718.603515625
2021-09-23,5923.72216796875,1362.6011962890625,1793.2137451171875,2962.698974609375,2384.385986328125,1750.0,3105.911376953125,3729.614013671875,2112.784423828125,7765.66845703125
2021-09-24,5928.22265625,1493.291015625,1793.2137451171875,3001.991943359375,2345.136962890625,1750.0,3105.911376953125,3729.614013671875,2102.478271484375,7812.73291015625
2021-09-25,5928.22265625,1493.291015625,1793.2137451171875,3001.991943359375,2345.136962890625,1750.0,3105.911376953125,3729.614013671875,2102.478271484375,7812.73291015625
2021-09-26,5928.22265625,1493.291015625,1793.2137451171875,3001.991943359375,2345.136962890625,1750.0,3105.911376953125,3729.614013671875,2102.478271484375,7812.73291015625
2021-09-27,5923.72216796875,1568.2769775390625,1780.760986328125,2946.98193359375,2315.699951171875,1750.0,3071.013427734375,3747.719482421875,2092.171875,7859.79736328125
2021-09-28,5869.7060546875,1829.6566162109375,1774.534423828125,2923.40576171875,2335.32470703125,1750.0,3079.738037109375,3675.298828125,2081.865234375,7742.1357421875
2021-09-29,5923.72216796875,2176.734130859375,1755.855224609375,2939.123046875,2354.94921875,1750.0,3079.738037109375,3856.348388671875,2154.009521484375,7742.1357421875
2021-09-30,6301.83203125,2523.811767578125,1793.2137451171875,3025.56787109375,2413.822998046875,1750.0,3219.32958984375,3983.08251953125,2215.84716796875,7859.79736328125
2021-10-01,6085.76904296875,2348.13037109375,1755.855224609375,3064.860595703125,2394.198486328125,2050.0,3193.156005859375,3946.872802734375,2205.540771484375,7836.26513671875
2021-10-02,6085.76904296875,2348.13037109375,1755.855224609375,3064.860595703125,2394.198486328125,2050.0,3193.156005859375,3946.872802734375,2205.540771484375,7836.26513671875
2021-10-03,6085.76904296875,2348.13037109375,1755.855224609375,3064.860595703125,2394.198486328125,2050.0,3193.156005859375,3946.872802734375,2205.540771484375,7836.26513671875
2021-10-04,6265.82177734375,2341.703125,1774.534423828125,3119.87158203125,2541.3828125,2050.0,3201.880615234375,4037.3974609375,2349.82861328125,8142.18505859375
2021-10-05,6252.31787109375,2395.2646484375,1743.4022216796875,3088.43701171875,2521.758056640625,2377.5,3201.880615234375,4019.29248046875,2349.82861328125,8306.9111328125
2021-10-06,6463.87939453125,2472.392822265625,1811.89306640625,3237.75048828125,2590.44384765625,2500.0,3280.40087890625,4327.07666015625,2473.503662109375,8330.4443359375
2021-10-07,6445.8740234375,2485.247314453125,1805.6666259765625,3237.75048828125,2629.693359375,2472.5,3245.5029296875,4127.921875,2463.197509765625,8330.4443359375
2021-10-08,6562.908203125,2459.5380859375,1824.345947265625,3269.184814453125,2708.191650390625,2472.5,3315.298583984375,4306.76220703125,2535.34130859375,8377.5087890625
2021-10-09,6562.908203125,2459.5380859375,1824.345947265625,3269.184814453125,2708.191650390625,2472.5,3315.298583984375,4306.76220703125,2535.34130859375,8377.5087890625
2021-10-10,6562.908203125,2459.5380859375,1824.345947265625,3269.184814453125,2708.191650390625,2472.5,3315.298583984375,4306.76220703125,2535.34130859375,8377.5087890625
2021-10-11,6531.3984375,2450.968505859375,1762.0816650390625,3284.902099609375,2708.191650390625,2477.5,3324.02294921875,4215.51806640625,2638.40380859375,8330.4443359375
2021-10-12,6589.9150390625,2485.247314453125,1755.855224609375,3316.336669921875,2747.440673828125,2497.5,3297.849853515625,4288.51416015625,2638.40380859375,8353.9765625
2021-10-13,6774.46875,2425.2587890625,1730.949462890625,3363.48876953125,2786.689697265625,2497.5,3289.125244140625,4580.4970703125,2751.772705078125,8424.5732421875
2021-10-14,6977.02783203125,2433.82861328125,1799.440185546875,3339.912841796875,2816.126708984375,2497.5,3341.471923828125,4543.9990234375,2834.22265625,8777.55859375
2021-10-15,6887.00244140625,2429.543701171875,1780.760986328125,3394.9228515625,2806.314453125,2490.0,3324.02294921875,4562.248046875,2782.691650390625,8730.494140625
2021-10-16,6887.00244140625,2429.543701171875,1780.760986328125,3394.9228515625,2806.314453125,2490.0,3324.02294921875,4562.248046875,2782.691650390625,8730.494140625
2021-10-17,6887.00244140625,2429.543701171875,1780.760986328125,3394.9228515625,2806.314453125,2490.0,3324.02294921875,4562.248046875,2782.691650390625,8730.494140625
2021-10-18,6774.46875,2403.83447265625,1793.2137451171875,3465.65087890625,2816.126708984375,2490.0,3306.57421875,4543.9990234375,2916.6728515625,8754.0263671875
2021-10-19,6751.96240234375,2373.83984375,1805.6666259765625,3457.791748046875,2825.938720703125,2490.0,3262.95166015625,4635.244140625,2978.510498046875,8754.0263671875
2021-10-20,6751.96240234375,2373.83984375,1805.6666259765625,3457.791748046875,2825.938720703125,2490.0,3262.95166015625,4635.244140625,2978.510498046875,8754.0263671875
2021-10-21,6661.9375,2251.719970703125,1786.9873046875,3426.357666015625,2816.126708984375,2490.0,3358.9208984375,4489.25146484375,3019.735595703125,8683.4287109375
2021-10-22,6774.46875,2185.303955078125,1874.157470703125,3457.791748046875,2825.938720703125,2780.0,3376.369873046875,4507.501953125,3071.26708984375,8565.767578125
2021-10-23,6774.46875,2185.303955078125,1874.157470703125,3457.791748046875,2825.938720703125,2780.0,3376.369873046875,4507.501953125,3071.26708984375,8565.767578125
2021-10-24,6774.46875,2185.303955078125,1874.157470703125,3457.791748046875,2825.938720703125,2780.0,3376.369873046875,4507.501953125,3071.26708984375,8565.767578125
2021-10-25,6774.46875,2262.43212890625,1923.9688720703125,3379.20556640625,2796.502197265625,2960.0,3297.849853515625,4416.25634765625,3030.041748046875,8565.767578125
2021-10-26,6774.46875,2279.572021484375,1899.063232421875,3418.49853515625,2816.126708984375,3330.0,3315.298583984375,4489.25146484375,2999.123046875,8565.767578125
2021-10-27,6706.9501953125,2271.001953125,1905.2896728515625,3371.34716796875,2806.314453125,3282.5,3306.57421875,4379.75830078125,2916.6728515625,8330.4443359375
2021-10-28,6639.4296875,2271.001953125,1849.2518310546875,3332.053955078125,2757.2529296875,3120.0,3271.67626953125,4379.75830078125,2906.36669921875,8283.3798828125
2021-10-29,6729.4560546875,2228.153076171875,1892.8367919921875,3339.912841796875,2816.126708984375,3100.0,3315.298583984375,4398.00732421875,2885.75439453125,8283.3798828125
2021-10-30,6729.4560546875,2228.153076171875,1892.8367919921875,3339.912841796875,2816.126708984375,3100.0,3315.298583984375,4398.00732421875,2885.75439453125,8283.3798828125
2021-10-31,6729.4560546875,2228.153076171875,1892.8367919921875,3339.912841796875,2816.126708984375,3100.0,3315.298583984375,4398.00732421875,2885.75439453125,8283.3798828125
2021-11-01,6661.9375,2198.15869140625,1892.8367919921875,3324.195556640625,2816.126708984375,3100.0,3228.0537109375,4398.00732421875,2823.916748046875,8283.3798828125
2021-11-02,6571.91015625,2069.611328125,1867.9310302734375,3308.478271484375,2757.2529296875,3130.0,3193.156005859375,4306.76220703125,2803.30419921875,8330.4443359375
2021-11-03,6616.92333984375,2106.032958984375,1849.2518310546875,3371.34716796875,2796.502197265625,3125.0,3245.5029296875,4361.509765625,2896.060302734375,8259.8466796875
2021-11-04,6639.4296875,2226.010498046875,1824.345947265625,3339.912841796875,2816.126708984375,3180.0,3289.125244140625,4361.509765625,2885.75439453125,8283.3798828125
2021-11-05,6706.9501953125,2228.153076171875,1786.9873046875,3332.053955078125,2786.689697265625,3205.0,3289.125244140625,4325.01171875,2865.1416015625,8283.3798828125
2021-11-06,6706.9501953125,2228.153076171875,1786.9873046875,3332.053955078125,2786.689697265625,3205.0,3289.125244140625,4325.01171875,2865.1416015625,8283.3798828125
2021-11-07,6706.9501953125,2228.153076171875,1786.9873046875,3332.053955078125,2786.689697265625,3205.0,3289.125244140625,4325.01171875,2865.1416015625,8283.3798828125
2021-11-08,6819.48291015625,2213.15576171875,1793.2137451171875,3324.195556640625,2747.440673828125,3400.0,3271.67626953125,4325.01171875,2906.36669921875,8377.5087890625
2021-11-09,6909.50927734375,2228.153076171875,1830.5723876953125,3339.912841796875,2698.379150390625,4080.0,3236.7783203125,4270.26416015625,2906.36669921875,8401.041015625
2021-11-10,6887.00244140625,2213.15576171875,1811.89306640625,3339.912841796875,2806.314453125,4850.0,3228.0537109375,4507.501953125,2916.6728515625,8377.5087890625
2021-11-11,6909.50927734375,2226.010498046875,1836.798828125,3339.912841796875,2835.751220703125,5055.0,3184.431396484375,4507.501953125,2896.060302734375,8330.4443359375
2021-11-12,6774.46875,2228.153076171875,1811.89306640625,3316.336669921875,2786.689697265625,5040.0,3140.809326171875,4489.25146484375,2844.529052734375,8424.5732421875
2021-11-13,6774.46875,2228.153076171875,1811.89306640625,3316.336669921875,2786.689697265625,5040.0,3140.809326171875,4489.25146484375,2844.529052734375,8424.5732421875
2021-11-14,6774.46875,2228.153076171875,1811.89306640625,3316.336669921875,2786.689697265625,5040.0,3140.809326171875,4489.25146484375,2844.529052734375,8424.5732421875
2021-11-15,6751.96240234375,2221.7255859375,1774.534423828125,3269.184814453125,2767.065185546875,5027.5,3140.809326171875,4471.00341796875,2803.30419921875,8401.041015625
2021-11-16,6729.4560546875,2226.010498046875,1762.0816650390625,3245.609130859375,2835.751220703125,4997.5,3201.880615234375,4507.501953125,2834.22265625,8306.9111328125
2021-11-17,6842.3671875,2228.153076171875,1755.855224609375,3300.61962890625,2835.751220703125,4932.5,3166.982666015625,4562.248046875,2885.75439453125,8330.4443359375
2021-11-18,6684.29248046875,2219.583251953125,1762.0816650390625,3284.902099609375,2816.126708984375,5097.5,3166.982666015625,4525.75048828125,2854.835205078125,8542.234375
2021-11-19,6706.87451171875,2228.153076171875,1786.9873046875,3363.48876953125,2845.5634765625,5280.0,3402.543212890625,4543.9990234375,2896.060302734375,8495.169921875
2021-11-20,6706.87451171875,2228.153076171875,1786.9873046875,3363.48876953125,2845.5634765625,5280.0,3402.543212890625,4543.9990234375,2896.060302734375,8495.169921875
2021-11-21,6706.87451171875,2228.153076171875,1786.9873046875,3363.48876953125,2845.5634765625,5280.0,3402.543212890625,4543.9990234375,2896.060302734375,8495.169921875
2021-11-22,6752.0380859375,2228.153076171875,1786.9873046875,3363.48876953125,2884.812744140625,5175.0,3315.298583984375,4525.75048828125,2957.898193359375,8542.234375
2021-11-23,6752.0380859375,2228.153076171875,1786.9873046875,3308.478271484375,2806.314453125,5137.5,3315.298583984375,4562.248046875,2885.75439453125,8424.5732421875
2021-11-24,6752.0380859375,2245.29248046875,1786.9873046875,3308.478271484375,2806.314453125,5137.5,3315.298583984375,4543.9990234375,2916.6728515625,8471.6376953125
2021-11-25,6706.87451171875,2258.1474609375,1780.760986328125,3316.336669921875,2884.812744140625,5147.5,3489.7880859375,4543.9990234375,2957.898193359375,8424.5732421875
